odontologia	Odontologia	odontologia|dentista|clínica odontológica
clinica-estetica	Clínica Estética	clínica estética|estética facial|estética corporal
fisioterapia	Fisioterapia	fisioterapia|clínica de fisioterapia|fisioterapeuta
psicologia	Psicologia	psicólogo|psicologia|clínica de psicologia
laboratorio	Laboratório	laboratório clínico|laboratório de análises|exames laboratoriais
mercado	Mercado	mercado|supermercado|minimercado|mercearia
loja	Loja	loja de presentes|loja de variedades|loja de utilidades
farmacia	Farmácia	farmácia|drogaria
otica	Ótica	ótica|loja de óculos
moveis	Móveis	loja de móveis|móveis planejados|marcenaria
roupas	Roupas	loja de roupas|moda feminina|moda masculina
contabilidade	Contabilidade	contabilidade|escritório contábil|contador
imobiliaria	Imobiliária	imobiliária|corretor de imóveis
oficina	Oficina	Oficina mecânica|mecânica automotiva|auto center
eletrica	Elétrica	eletricista|serviços elétricos|instalações elétricas
limpeza	Limpeza	empresa de limpeza|limpeza residencial|limpeza comercial
restaurante	Restaurante	restaurante|comida caseira|buffet almoço
cafeteria	Cafeteria	cafeteria|café|coffee shop
padaria	Padaria	padaria|panificadora
confeitaria	Confeitaria	confeitaria|doceria|bolos personalizados
salao	Salão	salão de beleza|cabeleireiro
barbearia	Barbearia	barbearia|barbeiro
manicure	Manicure	manicure|nail designer|esmalteria
spa	Spa	spa|massoterapia|centro de bem-estar
escola	Escola	escola|colégio|educação infantil
cursos	Cursos	curso profissionalizante|escola de cursos|centro de treinamento
idiomas	Idiomas	escola de idiomas|curso de inglês|curso de espanhol
reforco	Reforço Escolar	reforço escolar|aulas particulares|apoio escolar
banho-tosa	Banho e Tosa	banho e tosa|groomer
veterinaria	Clínica Veterinária	clínica veterinária|veterinário|hospital veterinário
agropecuaria	Agropecuária	agropecuária|casa de ração|produtos rurais
arquitetura	Arquitetura	arquiteto|escritório de arquitetura|arquitetura
engenharia	Engenharia	engenharia civil|empresa de engenharia|engenheiro civil
materiais	Materiais de Construção	materiais de construção|depósito de construção|acabamentos
reformas	Reformas	empresa de reformas|reforma residencial|empreiteiro
hotel	Hotel	hotel|hotel executivo
pousada	Pousada	pousada|hospedagem
buffet	Buffet	buffet de eventos|buffet casamento|salão de festas
fotografia	Fotografia	fotógrafo|estúdio fotográfico|fotografia de eventos
academia	Academia	academia|centro de treinamento|musculação
pilates	Pilates	pilates|estúdio de pilates
danca	Dança	escola de dança|academia de dança|aulas de dança
personal	Personal Trainer	personal trainer|treinador pessoal
